artist,title,year,source_rank
Various Artists,Flashdance: Original Soundtrack from the Motion Picture,1984,133
Lionel Richie,Can't Slow Down,1985,134
Cyndi Lauper,She's So Unusual,1985,135
Prince&The Revolution,Purple Rain,1985,136
Bruce Springsteen,Born in the U.S.A.,1985,137
Tina Turner,Private Dancer,1985,138
Phil Collins,No Jacket Required,1986,139
Dire Straits,Brothers in Arms,1986,140
Whitney Houston,Whitney Houston,1986,141
Sting,The Dream of the Blue Turtles,1986,142
USA for Africa,We Are the World,1986,143
Paul Simon,Graceland,1987,144
Peter Gabriel,So,1987,145
Janet Jackson,Control,1987,146
Barbra Streisand,The Broadway Album,1987,147
Steve Winwood,Back in the High Life,1987,148
U2,The Joshua Tree,1988,149
Whitney Houston,Whitney,1988,150
Michael Jackson,Bad,1988,151
"Dolly Parton,Linda Ronstadt&Emmylou Harris",Trio,1988,152
Prince,Sign o' the Times,1988,153
George Michael,Faith,1989,154
Tracy Chapman,Tracy Chapman,1989,155
Bobby McFerrin,Simple Pleasures,1989,156
Sting,...Nothing Like the Sun,1989,157
Steve Winwood,Roll with It,1989,158
Bonnie Raitt,Nick of Time,1990,159
Don Henley,The End of the Innocence,1990,160
Fine Young Cannibals,The Raw & the Cooked,1990,161
Tom Petty,Full Moon Fever,1990,162
Traveling Wilburys,Traveling Wilburys Vol. 1,1990,163
Quincy Jones,Back on the Block,1991,164
Phil Collins,...But Seriously,1991,165
Mariah Carey,Mariah Carey,1991,166
MC Hammer,Please Hammer Don't Hurt 'Em,1991,167
Wilson Phillips,Wilson Phillips,1991,168
Natalie Cole,Unforgettable... with Love,1992,169
Amy Grant,Heart in Motion,1992,170
Bonnie Raitt,Luck of the Draw,1992,171
R.E.M.,Out of Time,1992,172
Paul Simon,The Rhythm of the Saints,1992,173
Eric Clapton,Unplugged,1993,174
U2,Achtung Baby,1993,175
Various Artists,Beauty and the Beast,1993,176
Annie Lennox,Diva,1993,177
k.d. lang,Ingenue,1993,178
Whitney Houston,The Bodyguard – Original Soundtrack Album[b],1994,179
R.E.M.,Automatic for the People,1994,180
Donald Fagen,Kamakiriad,1994,181
Billy Joel,River of Dreams,1994,182
Sting,Ten Summoner's Tales,1994,183
Tony Bennett,MTV Unplugged,1995,184
Eric Clapton,From the Cradle,1995,185
Bonnie Raitt,Longing in Their Hearts,1995,186
Seal,Seal,1995,187
"José Carreras,Plácido Domingo&Luciano PavarottiwithZubin Mehta",The 3 Tenors in Concert 1994,1995,188
Alanis Morissette,Jagged Little Pill,1996,189
Mariah Carey,Daydream,1996,190
Michael Jackson,"HIStory: Past, Present and Future, Book I",1996,191
Joan Osborne,Relish,1996,192
Pearl Jam,Vitalogy,1996,193
Celine Dion,Falling into You,1997,194
The Smashing Pumpkins,Mellon Collie and the Infinite Sadness,1997,195
Beck,Odelay,1997,196
The Fugees,The Score,1997,197
Various Artists,Waiting to Exhale: Original Soundtrack Album,1997,198
Bob Dylan,Time Out of Mind,1998,199
Babyface,The Day,1998,200
Paul McCartney,Flaming Pie,1998,201
Radiohead,OK Computer,1998,202
Paula Cole,This Fire,1998,203
Lauryn Hill,The Miseducation of Lauryn Hill,1999,204
Shania Twain,Come on Over,1999,205
Sheryl Crow,The Globe Sessions,1999,206
Madonna,Ray of Light,1999,207
Garbage,Version 2.0,1999,208
Santana,Supernatural,2000,209
TLC,FanMail,2000,210
Dixie Chicks,Fly,2000,211
Backstreet Boys,Millennium,2000,212
Diana Krall,When I Look in Your Eyes,2000,213
Steely Dan,Two Against Nature,2001,214
Radiohead,Kid A,2001,215
Eminem,The Marshall Mathers LP,2001,216
Beck,Midnite Vultures,2001,217
Paul Simon,You're the One,2001,218
Various Artists,"O Brother, Where Art Thou? – Soundtrack[c]",2002,219
India.Arie,Acoustic Soul,2002,220
U2,All That You Can't Leave Behind,2002,221
Bob Dylan,Love and Theft,2002,222
OutKast,Stankonia,2002,223
Norah Jones,Come Away with Me,2003,224
Eminem,The Eminem Show,2003,225
Dixie Chicks,Home,2003,226
Nelly,Nellyville,2003,227
Bruce Springsteen,The Rising,2003,228
OutKast,Speakerboxxx/The Love Below,2004,229
The White Stripes,Elephant,2004,230
Evanescence,Fallen,2004,231
Justin Timberlake,Justified,2004,232
Missy Elliott,Under Construction,2004,233
Ray Charles& Various Artists,Genius Loves Company,2005,234
Green Day,American Idiot,2005,235
Kanye West,The College Dropout,2005,236
Usher,Confessions,2005,237
Alicia Keys,The Diary of Alicia Keys,2005,238
U2,How to Dismantle an Atomic Bomb,2006,239
